film_id,date,ville
25,2025-12-14,Nantes
1,2025-08-02,Marseille
42,2026-08-09,Paris
79,2025-11-17,Bordeaux
100,2025-12-06,Rouen
91,2026-06-23,Rouen
77,2026-01-19,Lyon
54,2026-04-11,Bordeaux
44,2025-03-06,Rouen
71,2025-11-27,Lyon
37,2026-07-14,Dijon
53,2025-05-08,Montpellier
45,2026-07-20,Rouen
31,2025-12-17,Rouen
35,2025-05-27,Marseille
51,2025-12-15,Rouen
81,2025-01-25,Marseille
19,2025-01-23,Lille
77,2025-07-02,Paris
78,2026-03-06,Rennes
21,2026-08-25,Grenoble
41,2026-12-01,Montpellier
66,2025-06-08,Toulouse
93,2026-09-24,Le Havre
29,2026-07-19,Nice
62,2026-12-24,Lyon
37,2025-10-22,Lyon
76,2025-10-08,Lyon
19,2025-09-06,Nice
4,2025-07-09,Nice
57,2026-03-03,Rennes
3,2026-10-25,Toulouse
92,2026-02-23,Lille
24,2026-08-02,Toulouse
64,2026-04-01,Lyon
95,2025-12-18,Rennes
54,2025-04-07,Grenoble
25,2025-08-21,Le Havre
76,2025-12-11,Lyon
90,2025-07-25,Nantes
51,2026-03-15,Toulouse
81,2025-06-17,Grenoble
89,2026-01-24,Nantes
21,2025-08-20,Strasbourg
48,2026-01-07,Le Havre
61,2026-08-15,Montpellier
73,2025-09-09,Lyon
34,2026-08-01,Paris
76,2026-06-11,Lille
86,2026-12-24,Lyon
51,2026-12-11,Paris
67,2026-07-03,Bordeaux
70,2025-03-23,Paris
87,2025-07-30,Grenoble
94,2026-01-10,Marseille
2,2026-09-10,Nice
10,2026-11-07,Marseille
60,2026-05-03,Montpellier
82,2026-05-05,Strasbourg
86,2026-01-15,Bordeaux
72,2025-04-09,Rouen
26,2026-04-10,Rouen
92,2026-03-17,Dijon
85,2025-06-28,Le Havre
69,2025-01-10,Toulouse
68,2025-02-27,Nantes
90,2025-01-12,Le Havre
25,2025-12-08,Grenoble
92,2025-07-10,Marseille
12,2025-07-27,Marseille
41,2026-09-15,Rennes
93,2026-06-15,Le Havre
37,2026-09-17,Toulouse
80,2025-03-04,Lille
14,2025-05-23,Paris
38,2026-01-29,Rouen
1,2025-08-09,Nice
58,2025-01-07,Nice
96,2025-02-07,Nice
68,2026-07-12,Grenoble
86,2025-01-23,Rennes
20,2026-09-25,Toulouse
6,2025-05-03,Grenoble
69,2025-10-30,Rennes
30,2026-05-28,Bordeaux
80,2026-12-22,Nice
65,2026-05-13,Bordeaux
38,2026-02-02,Bordeaux
65,2026-03-27,Nice
41,2025-08-02,Marseille
79,2025-05-16,Rennes
54,2026-02-17,Rennes
93,2025-12-16,Le Havre
45,2025-12-03,Rouen
84,2025-12-10,Lille
75,2025-10-18,Toulouse
11,2025-09-13,Rouen
14,2025-06-29,Le Havre
85,2026-02-24,Nice
96,2026-10-19,Toulouse
53,2026-10-03,Nice
19,2026-11-30,Montpellier
32,2025-11-28,Dijon
1,2025-07-19,Le Havre
13,2026-09-08,Lyon
72,2026-06-10,Paris
19,2025-02-04,Nice
77,2025-08-29,Nantes
68,2025-06-22,Toulouse
3,2026-06-17,Lyon
2,2025-10-15,Nice
7,2026-09-12,Nice
73,2025-04-13,Marseille
93,2025-01-19,Lyon
81,2026-07-14,Lyon
38,2026-12-31,Rouen
37,2026-08-20,Rennes
13,2025-03-17,Le Havre
52,2025-08-19,Le Havre
18,2025-04-02,Lille
95,2025-07-24,Paris
32,2025-04-26,Le Havre
33,2025-01-10,Grenoble
35,2026-02-16,Lyon
6,2026-11-24,Le Havre
3,2026-03-27,Nantes
71,2026-03-07,Bordeaux
92,2025-09-27,Nantes
58,2026-10-04,Strasbourg
65,2025-03-18,Strasbourg
23,2025-12-07,Nice
22,2026-07-02,Montpellier
61,2026-12-31,Rennes
28,2025-04-03,Montpellier
68,2025-01-28,Nice
6,2025-08-27,Strasbourg
97,2026-06-10,Bordeaux
100,2026-07-09,Rouen
92,2026-05-17,Rouen
49,2026-07-10,Montpellier
13,2025-11-13,Lyon
70,2025-03-17,Nice
37,2025-12-01,Strasbourg
39,2026-09-21,Nantes
37,2026-03-24,Strasbourg
44,2025-12-02,Nantes
69,2026-12-13,Lyon
43,2026-09-20,Strasbourg
22,2026-07-01,Rouen
68,2025-04-21,Toulouse
36,2025-09-30,Grenoble
64,2025-12-31,Nantes
17,2026-01-01,Rennes
26,2025-08-26,Le Havre
97,2026-07-17,Strasbourg
64,2026-03-02,Rouen
37,2025-06-19,Montpellier
11,2026-04-12,Nice
89,2025-02-23,Paris
69,2025-02-25,Nantes
65,2026-07-23,Nantes
64,2025-10-29,Marseille
55,2025-01-15,Strasbourg
93,2026-01-06,Dijon
65,2025-11-18,Le Havre
97,2025-09-08,Nice
36,2025-10-14,Nice
4,2025-12-27,Strasbourg
65,2025-07-03,Toulouse
79,2025-01-03,Bordeaux
61,2025-07-31,Montpellier
31,2025-04-17,Rennes
47,2025-04-05,Bordeaux
63,2025-09-16,Bordeaux
35,2026-11-28,Nantes
82,2025-10-02,Le Havre
66,2025-05-11,Montpellier
4,2026-07-19,Le Havre
34,2025-04-09,Montpellier
6,2026-10-31,Lyon
84,2026-11-28,Paris
13,2025-04-02,Marseille
79,2025-10-12,Nantes
62,2025-02-12,Dijon
9,2026-12-07,Le Havre
6,2025-08-15,Lille
37,2026-07-28,Dijon
69,2026-02-27,Montpellier
42,2026-01-17,Strasbourg
8,2025-04-30,Lille
94,2026-09-30,Nantes
8,2026-06-26,Rennes
6,2025-01-12,Bordeaux
59,2026-12-11,Rennes
5,2026-06-03,Nice
29,2025-07-07,Dijon
35,2025-02-07,Paris
41,2026-12-26,Marseille
44,2026-10-03,Le Havre
6,2025-04-18,Dijon
65,2026-11-25,Nantes
82,2025-12-15,Lyon
74,2026-01-27,Nantes
68,2025-11-10,Marseille
97,2026-10-27,Toulouse
73,2025-03-02,Dijon
53,2026-08-27,Strasbourg
27,2025-08-21,Rennes
80,2026-07-08,Dijon
47,2026-11-06,Lille
36,2025-09-04,Rennes
69,2026-04-13,Lyon
19,2025-04-06,Lille
9,2025-10-26,Le Havre
20,2026-08-22,Paris
90,2025-12-05,Strasbourg
61,2026-06-25,Marseille
75,2025-05-30,Nantes
62,2026-12-21,Rouen
53,2025-08-27,Montpellier
23,2025-04-13,Paris
60,2026-10-06,Montpellier
67,2026-07-13,Nantes
76,2026-01-20,Lyon
76,2026-03-30,Strasbourg
28,2025-02-18,Dijon
41,2026-09-15,Marseille
100,2025-08-17,Rouen
48,2025-01-03,Lille
13,2025-11-27,Rouen
27,2025-10-09,Montpellier
77,2025-02-20,Lille
58,2025-05-24,Bordeaux
86,2026-02-17,Paris
62,2026-10-03,Nice
6,2025-10-31,Nantes
61,2026-06-20,Rouen
